STATEFP,indian_area,state_area,Percent_Tribal_Land
01,0.40527290440454333,12.891866492687486,0.03143632495995998
02,9.335383846890615,282.01090882393964,0.03310291749287871
04,8.189254145506085,28.919220031715934,0.28317686772066697
05,0.00015913320450180828,13.585448531226005,1.1713503910897189e-05
06,0.27417885819147597,41.668273225690974,0.006580038887294911
08,0.4673805191990494,28.03925070949644,0.016668794899028994
09,0.001248176549924606,1.3966788677054738,0.0008936746869916963
10,0.00791024131349999,0.5415900729185084,0.014605587711151093
12,0.06505609698893251,13.934848389875587,0.004668590225653208
13,0.008641029873022914,14.668461601127001,0.0005890890338738051
15,0.07288437300821023,1.4482632859849942,0.050325361219552035
16,0.8397615899824308,24.45646100252308,0.03433700362026197
18,7.800988199997946e-05,9.873748894804518,7.900735863459885e-06
19,0.004920728083580844,15.857238832669452,0.00031031430727038336
20,0.10348453159803406,22.00432773406957,0.004702917210136245
22,0.346089212725001,11.544208778894546,0.029979465838986835
23,0.1115573921269512,9.753205391625972,0.01143802346485326
25,0.00035084513607823404,2.3185478335960226,0.0001513210687286447
26,0.10192710698857817,17.054769819006005,0.005976457499589915
27,1.3499888492034384,25.539811479922438,0.05285821511504509
28,0.013144950720000121,11.885416620194546,0.0011059730710377873
29,2.33316530326836e-05,18.615444948119908,1.2533491999631205e-06
30,4.118322156820946,45.07979860954449,0.09135626785939094
31,0.19452048345061915,21.614456008090006,0.00899955489871282
32,0.548250003421254,29.93966852189237,0.01831182609855432
34,0.007255565117224191,2.1309524846224974,0.003404846034617017
35,3.1275411958803336,30.892917107084102,0.10123813122080182
36,0.18195477937350552,14.006968575208106,0.012990303961669463
37,0.7065718674672212,12.782192015464455,0.055277832363367696
38,1.0350335677135007,21.839796565345527,0.047392088319899855
40,13.711801882938248,18.00500104403678,0.7615551839959247
41,0.41849574530169964,28.178454318036643,0.014851621759601847
42,1.6440968880949198e-07,12.53583770321049,1.3115173688582922e-08
44,0.0008971107265001053,0.30776305308599666,0.0029149396508275156
45,0.05287610498456834,7.856399194618525,0.006730323100280775
46,4.75011154100549,22.578331635133495,0.21038363762953935
47,6.923441299994904e-05,10.889271696434513,6.358038896450581e-06
48,0.0061635373294439974,65.32767064870832,9.434803458074721e-05
49,2.4410465125471026,22.975116780908895,0.10624740391202203
51,0.03307442977621315,10.685778693130755,0.003095181991507527
53,1.6724816053646216,20.899636055609193,0.08002443683299208
55,0.30367817096387967,16.490074258070926,0.018415815854513025
56,1.0146155017285605,27.970714628094303,0.036274207335033976
11,,0.01837354830999872,
17,,15.408210633680493,
21,,10.667940358170993,
24,,2.772298357989518,
33,,2.683566606943992,
39,,11.319912725077497,
50,,2.7979535129125015,
54,,6.493879726220489,
60,,0.01691666797350235,
66,,0.04679654546688116,
69,,0.04033520723850719,
72,,0.7713047554143092,
78,,0.03035439124794946,
