Year,state,Female_18_59,Male_18_59,Female_5_17,Male_5_17,Female_greater_than_60,Male_greater_than_60,Female_less_than_5,Male_less_than_5,Alaska Native alone,American Indian alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Black or African American alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,White alone,Not Spanish/Hispanic/Latino,Spanish/Hispanic/Latino,Asian and Pacific Island languages,English Only,N/A (GQ/vacant),Other Indo-European languages,Other Language,Spanish,With a disability,Without a disability,total_pop,indian_area,state_area,Percent_Tribal_Land,Income_Limit,state_name,Pop2010_Rural,TractSNAP_Rural,Pop2010_Urban,TractSNAP_Urban
2018,40,236855,182992,93289,99973,80314,56430,41921,37347,94.0,75591.0,5087.0,13615.0,103765.0,545.0,43007.0,75477.0,511940.0,691241,137880,11601,655108,8615,7845,16745,129207,184051,645070,3918137,13.711801882938248,18.00500104403678,0.7615551839959247,130,Oklahoma,1356594.0,62400.0,2394757.0,130209.0
2019,40,243259,174625,87565,94309,79055,55367,35961,34704,,73763.0,3397.0,15184.0,96508.0,1322.0,28694.0,75430.0,510547.0,675155,129690,16694,649058,7146,11938,7836,112173,182063,622782,3932870,13.711801882938248,18.00500104403678,0.7615551839959247,130,Oklahoma,1356594.0,62400.0,2394757.0,130209.0
2021,40,224842,181066,93201,99794,87623,61916,33977,41572,,70367.0,5294.0,17926.0,86372.0,1522.0,41718.0,136467.0,464325.0,687045,136946,13847,665345,5781,12634,11872,114512,198377,625614,3948136,13.711801882938248,18.00500104403678,0.7615551839959247,130,Oklahoma,1356594.0,62400.0,2394757.0,130209.0
2018,45,303164,212488,122010,116540,125838,77325,42729,47281,,5038.0,922.0,11539.0,448221.0,1117.0,33201.0,34104.0,513233.0,948528,98847,12947,908915,8833,15530,4632,96518,218008,829367,4955925,0.0528761049845683,7.856399194618525,0.0067303231002807,130,South Carolina,1818787.0,109295.0,2806577.0,140403.0
2019,45,288552,187402,109130,107242,122850,77633,42644,42237,,2809.0,823.0,10286.0,423263.0,1849.0,44748.0,29460.0,464452.0,888226,89464,10601,848794,8185,12499,2368,95243,200687,777003,5020806,0.0528761049845683,7.856399194618525,0.0067303231002807,130,South Carolina,1818787.0,109295.0,2806577.0,140403.0
2021,45,285112,207494,108370,114900,130785,88030,37896,40708,,7678.0,1227.0,16846.0,388893.0,582.0,50304.0,83713.0,464052.0,914301,98994,13198,859924,6776,24358,12342,96697,207618,805677,5078903,0.0528761049845683,7.856399194618525,0.0067303231002807,130,South Carolina,1818787.0,109295.0,2806577.0,140403.0
2018,2,44185,42881,15551,16638,14281,14329,8234,6849,40374.0,2055.0,5770.0,12247.0,4087.0,5165.0,1629.0,12201.0,79420.0,154358,8590,15821,111024,3544,2396,23717,6446,27291,135657,738516,9.335383846890617,282.01090882393964,0.0331029174928787,185,Alaska,282462.0,11061.0,427769.0,14794.0
2019,2,42356,40316,14228,17072,17034,13998,8776,6938,38735.0,1061.0,7995.0,4159.0,3319.0,6507.0,1064.0,11481.0,86397.0,146001,14717,11611,104777,2828,2741,30859,7902,28812,131906,737068,9.335383846890617,282.01090882393964,0.0331029174928787,185,Alaska,282462.0,11061.0,427769.0,14794.0
2021,2,40122,38533,15606,21300,13989,13437,4230,5666,35661.0,1224.0,147.0,8357.0,5009.0,5105.0,4190.0,22319.0,70871.0,142006,10877,9733,110268,4163,1643,20506,6570,35959,116924,735951,9.335383846890617,282.01090882393964,0.0331029174928787,185,Alaska,282462.0,11061.0,427769.0,14794.0
2018,4,577785,496511,238210,244325,237994,170947,94973,98457,215.0,171752.0,11860.0,59356.0,123617.0,4849.0,158753.0,94694.0,1534106.0,1188435,970767,54853,1056804,20553,51868,150335,824789,366737,1792465,6946685,8.189254145506085,28.91922003171593,0.2831768677206669,185,Arizona,909560.0,43328.0,5482457.0,255028.0
