state_185,female_18_59_185,male_18_59_185,female_5_17_185,male_5_17_185,female_greater_than_60_185,male_greater_than_60_185,female_less_than_5_185,male_less_than_5_185,alaska native alone_185,american indian alone_185,"american indian and alaska native tribes specified; or american indian or alaska native, not specified and no other races_185",asian alone_185,black or african american alone_185,native hawaiian and other pacific islander alone_185,some other race alone_185,two or more races_185,white alone_185,not spanish/hispanic/latino_185,spanish/hispanic/latino_185,asian and pacific island languages_185,english only_185,n/a (gq/vacant)_185,other indo-european languages_185,other language_185,spanish_185
01,458328,341821,163590,172030,206423,126806,66144,69449,280.0,6183.0,1496.0,16297.0,612967.0,557.0,51300.0,61652.0,853859.0,1487869,116722,14212,1444722,9635,14186,9113,112723
02,41539,40570,15811,18252,14750,12685,8263,6984,38143.0,1031.0,3281.0,11186.0,7075.0,4779.0,2822.0,15144.0,75393.0,146917,11937,14872,104476,3667,2834,25342,7663
04,540229,462429,227386,231409,226592,163291,84575,86138,356.0,148206.0,8747.0,49412.0,114104.0,3991.0,189326.0,250750.0,1257157.0,1125897,896152,46569,1033150,17349,42806,134962,747213
05,283609,232176,110998,113966,125313,87155,45180,47137,13.0,5234.0,1107.0,11409.0,231411.0,6641.0,48159.0,61755.0,679805.0,930025,115509,14434,910319,5476,10957,3539,100809
06,2830327,2426742,1114855,1159556,1088206,789363,378502,398528,530.0,89291.0,27683.0,1131524.0,733686.0,39340.0,2324505.0,1101766.0,4737754.0,4631237,5554842,984279,3416605,159623,468662,179621,4977289
08,338701,299312,118611,120731,130711,91616,44324,45697,164.0,14384.0,4238.0,35087.0,76765.0,1274.0,84330.0,131562.0,841899.0,774644,415059,30853,795969,10374,35984,27964,288559
09,201673,159618,73647,74929,96238,60932,24444,25847,,2559.0,1434.0,31114.0,124860.0,480.0,97779.0,61386.0,397716.0,476995,240333,20096,397734,12877,59793,13868,212960
10,63282,48776,24654,23777,28578,17409,9712,10629,,965.0,216.0,7133.0,72806.0,74.0,12484.0,15294.0,117845.0,187708,39109,6337,164846,1686,11461,3703,38784
11,49305,36899,16122,15327,16672,12343,7149,6073,,912.0,114.0,4981.0,117285.0,25.0,10204.0,5771.0,20598.0,143793,16097,3859,119905,6827,5296,7204,16799
12,1664934,1349276,586179,614761,886076,625630,225990,235587,101.0,15074.0,5290.0,145603.0,1385540.0,3118.0,358660.0,640451.0,3634596.0,4126365,2062068,111995,3447265,57064,492988,73306,2005815
13,877057,660724,357186,364816,330717,217231,132852,138084,79.0,13676.0,4668.0,97408.0,1272873.0,4440.0,165395.0,171084.0,1349044.0,2619836,458831,80125,2380625,15179,86455,58867,457416
15,74829,63912,26266,28066,38173,28863,12548,12725,78.0,976.0,233.0,78738.0,4984.0,55319.0,5810.0,74161.0,65083.0,244155,41227,97858,153027,8579,5765,6934,13219
16,137281,115604,57033,58817,51207,38194,21516,23871,132.0,7114.0,2436.0,6484.0,5750.0,1096.0,31003.0,34358.0,415150.0,409914,93609,7639,393289,3199,10149,8355,80892
17,872335,691419,332284,346090,371154,244896,126097,124846,367.0,9615.0,5005.0,140618.0,744065.0,2155.0,304268.0,217092.0,1685936.0,2329300,779821,94740,1995047,30785,179181,77601,731767
18,508534,393135,196005,203923,204795,131627,76374,83346,35.0,3585.0,1309.0,47893.0,284194.0,778.0,70838.0,107846.0,1281261.0,1592990,204749,39904,1492519,12202,57355,20117,175642
19,209178,169262,75290,82456,96552,63100,30931,32822,,3119.0,1113.0,22467.0,62028.0,2470.0,19011.0,44788.0,604595.0,680421,79170,22378,616675,8783,23406,20403,67946
20,207213,169259,81515,82878,79645,54032,32353,35113,5.0,5901.0,915.0,22311.0,67543.0,482.0,41479.0,65721.0,537651.0,595481,146527,19526,574827,5317,14253,11351,116734
21,397802,329106,139119,148310,178192,117965,57577,60055,75.0,2455.0,672.0,19789.0,160128.0,1200.0,25114.0,70517.0,1148176.0,1349346,78780,16477,1269080,11961,35111,19705,75792
22,464320,344679,169427,179938,191552,128749,66753,71033,18.0,6674.0,2345.0,24322.0,756140.0,412.0,38243.0,69322.0,718975.0,1512859,103592,21148,1412830,9674,57286,13300,102213
23,88479,74766,25567,28613,54562,40531,9954,11101,,3152.0,231.0,4445.0,9501.0,12.0,1803.0,14174.0,300255.0,327399,6174,3875,291769,4987,20852,6805,5285
24,324692,246299,120749,129832,142673,91068,45475,50042,,2882.0,2108.0,66030.0,447376.0,302.0,119374.0,64916.0,447842.0,954817,196013,45859,774527,13855,71799,51948,192842
25,385060,300856,117485,124825,206034,127588,41311,44621,,3681.0,1954.0,96254.0,155597.0,583.0,130662.0,132070.0,826979.0,997295,350485,81385,707689,24527,172562,46683,314934
26,762794,619824,276381,289033,327657,223172,110494,113829,22.0,15461.0,3687.0,63906.0,625804.0,839.0,59566.0,166753.0,1787146.0,2511912,211272,39961,2235153,32696,102767,153460,159147
27,311323,255107,118119,125143,144838,98164,45689,45223,45.0,21890.0,4511.0,71419.0,175628.0,470.0,49197.0,74613.0,745833.0,1024054,119552,69078,803240,22760,34645,113144,100739
28,312921,227156,118753,122228,130780,87355,43142,46100,23.0,6550.0,832.0,8761.0,576657.0,444.0,19071.0,28174.0,447923.0,1043236,45199,7973,1014687,5299,8588,8153,43735
29,460487,370399,171511,181197,209717,139892,68638,71475,155.0,6044.0,2399.0,27331.0,298094.0,3139.0,33670.0,94188.0,1208296.0,1570342,102974,26119,1483167,15293,41623,19926,87188
30,78522,72627,27491,28389,38063,29886,10368,12333,61.0,33721.0,2215.0,3119.0,2186.0,273.0,3376.0,17408.0,235320.0,283280,14399,3139,263902,6128,7598,8587,8325
31,126536,101422,50356,54313,53039,35840,20557,22949,19.0,7150.0,778.0,14317.0,38424.0,334.0,24246.0,38470.0,341274.0,373314,91698,11513,345518,3940,13232,13595,77214
32,235907,198157,93858,99691,88942,74090,33701,36913,117.0,12726.0,1763.0,53528.0,117855.0,7110.0,146747.0,97072.0,424341.0,522175,339084,53477,456983,4837,25079,16628,304255
33,61764,47726,18110,19317,37481,25316,6540,7184,,241.0,37.0,6516.0,6568.0,108.0,2494.0,9710.0,197764.0,209743,13695,3858,188723,3102,12031,3691,12033
34,491709,391071,192104,202267,245790,148930,70607,80076,46.0,5465.0,2945.0,111243.0,378830.0,539.0,262405.0,165852.0,895229.0,1156252,666302,69516,853625,24543,166122,66414,642334
35,206067,173952,78416,83201,87851,64264,29736,32384,155.0,101072.0,4105.0,8338.0,16959.0,702.0,91981.0,103463.0,429096.0,324037,431834,6826,336658,5558,7889,85292,313648
36,1430176,1153260,507572,530625,699737,440969,193235,205746,156.0,25129.0,10870.0,511441.0,1042223.0,3738.0,788304.0,367955.0,2411504.0,3690295,1471025,349075,2535591,109565,658240,169029,1339820
37,837089,665438,313575,324687,366641,241240,120236,123834,123.0,43705.0,7460.0,67285.0,880122.0,2427.0,195650.0,179799.0,1616169.0,2501144,491596,55962,2327594,21919,56919,37247,493099
38,44422,42721,16780,14648,20719,13648,6910,7695,,15936.0,3296.0,3207.0,11149.0,51.0,3631.0,10169.0,120104.0,155157,12386,1289,137451,2566,7643,8778,9816
39,884123,684438,329915,343775,389841,251913,132744,139830,68.0,5288.0,2951.0,62552.0,676728.0,2242.0,65219.0,201756.0,2139775.0,2953863,202716,42605,2714700,28485,125202,78210,167377
40,348861,290858,138581,148561,126788,87206,56801,58233,194.0,112166.0,6589.0,25155.0,129768.0,1947.0,58198.0,149813.0,772059.0,1045156,210733,25015,1007626,8189,16948,18988,179123
41,306680,267981,97207,103765,137220,95889,35778,37732,424.0,12526.0,3026.0,41681.0,30519.0,5476.0,59766.0,98719.0,830115.0,859541,222711,41822,768394,22015,39477,18907,191637
42,844823,662891,311021,319955,450857,284319,119789,124706,47.0,5392.0,3559.0,115720.0,590367.0,1447.0,185208.0,190504.0,2026117.0,2659371,458990,96850,2353051,42850,170160,57440,398010
44,68459,54139,21983,21520,37216,22595,8997,7785,,1222.0,741.0,7068.0,23620.0,451.0,32740.0,23369.0,153483.0,165469,77225,6846,133761,3249,21799,5059,71980
45,427909,326801,160167,164103,194842,133408,60583,64514,,6499.0,1403.0,20950.0,605826.0,1258.0,56647.0,71102.0,768642.0,1394543,137784,19770,1327024,8060,29278,7782,140413
46,57410,50922,23541,22848,26111,19564,9518,10413,,38565.0,8523.0,3706.0,9130.0,189.0,3218.0,12355.0,144641.0,204308,16019,2050,179814,6778,5940,15900,9845
47,573629,454397,212447,218516,245112,164929,83183,86604,116.0,3735.0,2553.0,27250.0,473361.0,1480.0,63961.0,97738.0,1368623.0,1846558,192259,21975,1745479,11655,34274,39681,185753
48,2379215,1895935,1036015,1087240,777414,547327,396859,419036,377.0,33171.0,18074.0,289490.0,1258025.0,8046.0,889000.0,1141092.0,4901766.0,3810875,4728166,218078,3675732,42318,181023,154314,4267576
49,199308,168497,84723,88508,51697,35467,35617,36580,231.0,11819.0,1354.0,17655.0,15421.0,10763.0,62160.0,46627.0,534367.0,541515,158882,25967,475791,6306,23334,17636,151363
50,40950,33953,11865,12898,21842,17209,3888,3747,15.0,410.0,41.0,2945.0,3214.0,,1061.0,6159.0,132507.0,143066,3286,2468,128836,2506,8157,793,3592
51,516735,397019,179710,188664,217927,143242,73773,74911,111.0,4292.0,1723.0,84658.0,520047.0,1388.0,98143.0,115264.0,966355.0,1542893,249088,58160,1337240,12689,77505,64208,242179
53,452507,383306,162404,170670,183711,129054,62602,67674,1563.0,28196.0,4882.0,112343.0,95544.0,12819.0,151223.0,166576.0,1038782.0,1240912,371016,110530,1015662,25393,83905,55140,321298
54,167224,140188,55139,54592,83557,58673,21109,20663,,722.0,324.0,3698.0,25995.0,434.0,4041.0,24450.0,541481.0,590839,10306,4071,574914,3238,5631,2974,10317
55,365603,284143,133704,138837,169496,114882,52055,52746,122.0,15076.0,2001.0,43663.0,184154.0,596.0,53900.0,85598.0,926356.0,1142236,169230,35959,1056788,15586,42716,13597,146820
56,38279,32102,12265,14515,15491,11605,6001,6249,77.0,5312.0,355.0,1487.0,2267.0,85.0,4085.0,7656.0,115183.0,116736,19771,1869,117661,994,2087,1550,12346
